,Mean Rewards,Standard error
0,3.367567777633667,[0.43066365]
1,3.1783783435821533,[0.2923545]
2,0.5729729533195496,[0.19163159]
3,1.9135135412216187,[0.41969413]
4,3.1189191341400146,[0.63604116]
5,3.6432430744171143,[0.4444748]
6,1.718919038772583,[0.13298286]
7,4.1621623039245605,[0.5084506]
8,3.3189187049865723,[0.33248737]
9,1.2864865064620972,[0.29525506]
10,1.2000000476837158,[0.37183207]
11,2.410810947418213,[0.25289655]
12,0.5945945382118225,[0.21266797]
13,5.3297295570373535,[0.44403633]
14,2.0378377437591553,[0.3768405]
15,4.77297306060791,[0.42381048]
16,6.1189188957214355,[0.32456073]
17,4.367567539215088,[0.5308088]
18,5.870270252227783,[0.37999016]
19,4.940540313720703,[0.44383058]
20,4.31351375579834,[0.51740587]
21,5.151351451873779,[0.4941415]
22,4.281080722808838,[0.57775706]
23,0.9567567706108093,[0.6484102]
24,4.659459590911865,[0.5434113]
